id;start_date;end_date;language
1;2020-02-01T09:22:19;2020-02-01T07:12:34;SPANISH
2;2020-01-31T14:12:30;2020-02-01T09:16:55;SPANISH
3;2020-02-01T05:07:49;2020-01-31T15:41:58;FRENCH
4;2020-01-31T20:25:20;2020-02-01T07:56:46;FRENCH
5;2020-02-01T05:55:38;2020-02-01T10:42:37;FRENCH
6;2020-01-31T23:47:59;2020-02-01T11:56:13;FRENCH
7;2020-02-01T01:33:19;2020-01-31T19:24:10;FRENCH
8;2020-02-01T00:29:32;2020-02-01T10:45:40;SPANISH
9;2020-01-31T23:10:41;2020-01-31T19:52:04;SPANISH
10;2020-02-01T07:22:45;2020-01-31T17:57:15;SPANISH
